feature,importance_mean,importance_std
AGE_MISSING,0.18761218129911236,0.021257944381794184
SPEED_SCORE,0.0580931299112442,0.008092140414271183
Weight,0.020355164226355332,0.004730527683858624
Age,0.01506409350443777,0.005643587536995067
Sprint_40yd,0.014342423257391546,0.006998984525966837
Position,0.006038357171123276,0.003328810340311726
Bench_Press_Reps,0.0046886483125105766,0.0013827998968798125
Height,0.004089759172367022,0.0016086573743143617
Player_Type,0.0021676606930860903,0.0022905717560227287
Position_Type,0.0017843009780089264,0.0008209587439311815
MASS_HEIGHT_RATIO,0.001775467804850453,0.0013456132554965008
Agility_3cone,0.0002526287523319376,0.0010862131160111678
TESTS_COMPLETED,0.00019786307874954112,0.0006097321317234061
School,-0.000582989428458372,0.001784489875475579
Broad_Jump,-0.0009363163547967818,0.002084673779352528
Year,-0.0021005285770817894,0.0027711954758936506
Shuttle,-0.0025580869466900608,0.0019170387249578828
BMI,-0.0031340098366216124,0.0013625735795854462
Vertical_Jump,-0.004096825710893814,0.002347478545535161
