model,fold,roc_auc,pr_auc,log_loss,brier_score,seconds
Logistic Regression,1,0.8007094804680877,0.8534231332801128,0.47153126139068813,0.14927890090386486,0.04126317200007179
Logistic Regression,2,0.8458271184032957,0.8978000166793809,0.425356462087996,0.1374517566992086,0.03883819999987281
Logistic Regression,3,0.8624760281269976,0.9032616427065114,0.40530287009901633,0.13064582773288935,0.038599914999849716
Logistic Regression,4,0.798455215419501,0.8502882246468749,0.46179421675450205,0.15169972483121183,0.03960739900003318
Logistic Regression,5,0.8319727891156463,0.8804339252814489,0.4223085906890698,0.13639643274919955,0.052869963999910397
Random Forest,1,0.8136129798179659,0.8649429185500617,0.4764872598318441,0.15429310300259674,1.2156424719998995
Random Forest,2,0.8648483557070814,0.9150932219716454,0.4504234481885302,0.14356287870244822,1.1521685270001853
Random Forest,3,0.859791178350735,0.9024273451332134,0.4390281506650387,0.1389789533609747,1.1705120199999328
Random Forest,4,0.795436507936508,0.849598633631022,0.4818961716347681,0.1576116967799107,1.1263077600001452
Random Forest,5,0.8373866213151928,0.8784914383721119,0.4439377952932959,0.1408321558184925,1.106771856999785
Extra Trees,1,0.8037904912657584,0.8499189188663192,0.6666931181495289,0.15613359544329913,1.3556728620001195
Extra Trees,2,0.8471766460686129,0.8965037785276706,0.4426869170065443,0.1424963900274277,1.3650643689998105
Extra Trees,3,0.8314226862703317,0.8797934969860193,0.4297519994887394,0.1399761669238634,1.3624998149998646
Extra Trees,4,0.7793934240362812,0.8407657822697711,0.49066565201790724,0.1632364078512108,1.2746545579998383
Extra Trees,5,0.8156108276643991,0.8485559285226777,0.5096119335711761,0.14341820540818295,1.357355482999992
Histogram Gradient Boosting,1,0.8206653852676804,0.874920444347616,0.4501870175606533,0.144558776306671,0.19685177500014106
Histogram Gradient Boosting,2,0.8605440727324384,0.9107874127848886,0.4198018016686091,0.13500820471821595,0.17950768099990455
Histogram Gradient Boosting,3,0.85159457347823,0.8899129044256916,0.41993662093000195,0.13509585169607097,0.20592796799974167
Histogram Gradient Boosting,4,0.7988662131519273,0.8487825947657355,0.4710578903079758,0.15381144899926383,0.26011477299971375
Histogram Gradient Boosting,5,0.8518282312925171,0.8948190129539152,0.41006077488199555,0.1295857787769843,0.15973643799998172
